Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-02-23,107451.54760742188,110917.7265625,107451.54760742188,110917.7265625,309916,0.0,0
2018-02-26,110917.72549019607,111784.27022058822,108318.0912990196,110484.453125,189146,0.0,0
2018-02-27,109184.64214939026,110051.18692835367,106585.00781250001,106585.0078125,267401,0.0,0
2018-02-28,106585.00462962964,107018.27700617285,105285.18750000001,105285.1875,274305,0.0,0
2018-03-02,104418.63955078126,104851.9119140625,103118.8224609375,103985.3671875,180757,0.0,0
2018-03-05,103552.09694602272,105285.18643465909,103118.82457386363,104851.9140625,123072,0.0,0
2018-03-06,104851.91082635983,105285.18318514645,103118.8213912134,103552.09375,166264,0.0,0
2018-03-07,103118.82600635593,103552.09838453389,101385.73649364406,102252.28125,226535,0.0,0
2018-03-08,102252.2756039916,103118.8203125,101385.7308954832,103118.8203125,232268,0.0,0
2018-03-09,103118.82352178423,105285.18536047717,102685.55115404565,104418.640625,182372,0.0,0
2018-03-12,104851.9140625,105718.45880681818,103985.36931818182,104851.9140625,223441,0.0,0
2018-03-13,103985.37076271186,103985.37076271186,100519.19173728813,102252.28125,502928,0.0,0
2018-03-14,101385.73543882978,102685.55255984042,100952.46306515958,101819.0078125,138875,0.0,0
2018-03-15,101385.74114806869,101385.74114806869,100085.92395386267,100952.46875,242652,0.0,0
2018-03-16,101385.72982594935,103118.81922468354,100952.45747626582,102685.546875,237154,0.0,0
2018-03-19,102685.55255984042,103552.09730718085,100952.46306515958,101819.0078125,127925,0.0,0
2018-03-20,100952.46200587608,102252.27911324787,100519.18963675214,101385.734375,137433,0.0,0
2018-03-21,100952.4641154661,103118.82600635593,100519.19173728813,102252.28125,168278,0.0,0
2018-03-22,101819.0078125,103552.09730718085,101385.73543882978,101819.0078125,198480,0.0,0
2018-03-23,100952.45767663044,101385.73002717391,98352.82357336956,99652.640625,298850,0.0,0
2018-03-26,99652.64523678414,99652.64523678414,97919.55575440529,98352.828125,143259,0.0,0
